Place,Address,Latitude,Longitude,Tips
Arnaud's French 75 Bar (The 12 Essential French Quarter Bars),"813 Bienville St, New Orleans, LA",29.95571634,-90.06878031,"Once a space that was only for men, the French 75 continues to evoke the upper crust masculinity of an intimate, upper crust English club. A gorgeous polished bar, circa late 1800s, runs the length of the room. While you can be assured of getting a high quality French 75 (made old school with champagne and cognac), award-winning head bartender Chris Hannah is considered one of the nation’s best. Every item of the short but eclectic menu of cocktails is an inventive winner, and with several options under $10, the bar represents a good value, even for an upscale venue. Another bonus: from 6-10 p.m., patrons can order bar bites from the famous, century-old restaurant next door. The French 75’s somewhat diminutive proportions makes it best suited for smaller numbers."
Atomic Burger (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"3934 Veterans Memorial Blvd, Metairie, LA 70006",30.0039689,-90.1739471,"When in doubt, throw it all in the blender with ice cream. King cake-flavored ice cream and a big ol’ dollop of cheesecake filling get topped with purple, green, and gold sprinkles. The shake is frozen-to-order, flash chilled with liquid nitrogen at -321 degrees Fahrenheit. The whole thing is presented in a color-changing, Mardi Gras go-cup."
Audubon Butterfly Garden and Insectarium (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"423 Canal St, New Orleans, LA 70130",29.9518443,-90.066435,"So, this is a real, traditional style king cake, but it’s a king cake filled with crickets (and topped with crickets), which is just so wacky that it landed on this list. Jayme Necaise, Director of Animal and Visitor Programs at Audubon Butterfly Garden and Insectarium, says the cricket-stuffing lends “a nice nutty flavor.” The cricket topping adds a little crunch, kind of like a Danish topped with pecans. (Tastings are included with general admission while supplies last through Mardi Gras season.)"
Avenue Bar & Restaurant (Where to Eat the Best Yak-a-Mein in New Orleans),"1939 Franklin Ave, New Orleans, LA 70117",29.9780827,-90.0480382,"This friendly neighborhood bar offers a lively local crowd, reasonably priced set ups (small bottles plus mixers), a pool table and best of all, a kitchen that stays open until the wee hours. Ya-ka-mein is a proud specialty of the house, a 32-ounce rib-sticking portion with just the right balance of soy and heat. Just remember they’re closed Monday and Tuesday. "
Avery's On Tulane (Here are New Orleans’ Best Po-Boy Spots),"2510 Tulane Ave, New Orleans, LA 70119",29.9604576,-90.0883719,"While this friendly, family-run, Tulane Avenue eatery isn’t the cheapest on the list (a large oyster po-boy will set you back $18), Avery’s po-boy menu boasts some of the most over-the-top options, including buffalo shrimp and blue cheese, the “Fire in the Hole” made with hot sausage, pepper jack, jalepeños, and the “Danimal,” a heart-stopping combo of a beef patty, hot sausage, egg, onion ring and Sriracha mayo. Lunch only: closed Sundays. "
Bakery Bar (New Orleans’ Top Bakeries: Where To Eat Sweets and Buy Bread in the Crescent City),"1179 Annunciation St, New Orleans, LA 70130",29.9389025,-90.0686838,"Sugar and booze: so simple, so needed. One wonders why it’s taken so long. Thanks to Debbie Does Doberge founders Charlotte McGehee and Charles Mary IV (12 Mile Limit tipplers have been sampling their goods for years), the wait is over. Located in 1179‘s former digs, Bakery Bar’s location in the shadow of the Crescent City Connection may be off the beaten path for some but consider a detour. Until 3 p.m., Bakery Bar functions mostly as a serious eggs and grits brunch spot; come 5, it’s dessert and drinks that rule the roost, including key lime pie, vanilla doberge brûlée, or the ultimate chocolate three-way Grasshopper Pie Bombe. Doberge cakes available for order. "
Bakery Bar (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"1179 Annunciation St, New Orleans, LA 70130",29.9390268,-90.0687279,"This seven-layer dream combines two classic New Orleans desserts — king cake and doberge. The seven layers of cake held together by cream cheese pudding, and topped with buttercream frosting and cream cheese icing. The flavors of the cake undeniably taste like a bolder version of the king cake. Slices and whole cakes are first-come, first-served at the Bakery Bar, unless you placed an order before January 5. Either way, the bar and sweet shop is worth a visit. "
Bao & Noodle (Where To Satisfy a Chinese Food Craving in New Orleans),"2700 Chartres St, New Orleans, LA 70117",29.9634579,-90.0507011,"Chef Doug Crowell, a veteran of the Herbsaint kitchen, married a Chinese American, whose father is a New York chef. Inspired by his father-in-law, Crowell makes authentic dishes like a steamed whole local fish stuffed with lemongrass and zippy dan dan noodles. The place is airy and casual and, FYI, it’s BYO. "
Bar Redux (20 New Orleans Dive Bars to Avoid Valentine’s Day ),"801 Poland Ave, New Orleans, LA 70117",29.961669,-90.032227,"This Bywater dive bar boasts ample seating on the outside patio, where anything from blues to burlesque holds sway. The drinks are strong and cheap and the pub grub surprisingly good.  Try the chicken sausage gumbo."
Bar Tonique (The 12 Essential French Quarter Bars),"820 N Rampart St, New Orleans, LA",29.96166277,-90.06738904,"Decidedly more done up than the Black Penny, boothy Bar Tonique centers on cocktails and casual glam. With exposed brick walls and high ceilings, Bar Tonique evokes classic New Orleans architecture. Drinks tend to run on the pricier side but quality ingredients and skill warrant the tab. Plus, $5 drink specials help soften the blow. A selection of clever temperance drinks offers even teetotalers a bit of fun.  "
Bayona (New Orleans' Essential Lunch Spots),"430 Dauphine St, New Orleans, LA 70112",29.95736452,-90.06809312,"Head to this Susan Spicer classic in the Quarter for the smoked duck “PB & J,"" or for Saturday lunch, where three small plates will only set you back $28."
Bayou Beer Garden New Orleans (Where to Watch the 2018 Super Bowl in New Orleans),"326 N Jefferson Davis Pkwy, New Orleans, LA 70119",29.971988,-90.091615,"If the weather is nice, head to this Mid City compound for gravy fries, boiled crawfish, drink specials, and — most importantly — a big screen on the deck. A deck also connects Bayou Beer Garden to Bayou Wine Garden, so there are both plenty of wine (16 wines on tap) and beer options. Here’s the game-day menu."
Bears Poboy's at Gennaro's (Here are New Orleans’ Best Po-Boy Spots),"3206 Metairie Rd, Metairie, LA 70001",29.9762094,-90.1565954,"While Bear’s offers an extensive line-up of the usual po-boy suspects, it’s roast beef that’s the stand out at this Metairie comfort food locale. House roasted and served on locally baked Leidenheimer bread, Bear’s proclaims to have the best roast beef po-boy around. You be the judge. Open every day; Sundays lunch only."
BETH BIUNDO SWEETS (New Orleans’ Top Bakeries: Where To Eat Sweets and Buy Bread in the Crescent City),"3917 Baronne St, New Orleans, LA 70115",29.9290033,-90.0973144,"After building a following online, this much-accoladed former pastry chef for Lilette (and trained interior designer) opened a storefront on Baronne last year. The spare, ethereal space offers a gallery-like feel that puts the focus on the art: Biundo’s upscale, immaculate cakes, tarts, and sweets. A top choice for custom, contemporary wedding cakes as well. Tip: A visit to the beautiful space begs a bottle of Champagne from the nearby Martin’s Wine Cellar to accompany the sweets."
Beth Biundo Sweets (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"3917 Baronne St, New Orleans, LA 70115",29.9290033,-90.0973144,"Super-stylish bakery Beth Biundo Sweets is here to make Carnival dreams come true with a multi-layered, Mardi Gras-inspired cake with purple, green, and gold wedding cake-flavored layers held together by vanilla buttercream. The thing is that it tastes as good as it looks. It’s available by the slice at the bakery, or in 6” ($34), 8” ($47), and 10” ($69) rounds by pre-order. Tip: Stop by Martin’s Wine Cellar around the corner from Beth Biundo to grab a bottle of Champagne or sparkling dessert wine to take to the bakery and enjoy with a slice."
Bevi Seafood Co. (Two Locations) (Here are New Orleans’ Best Po-Boy Spots),"236 N Carrollton Ave, New Orleans, LA 70119",29.9757657,-90.0987631,"This is the place to go to take care of po-boy needs and boiled crawfish needs — at the same time. The Carrollton spot doubles as a seafood market with the addition of daily daiquiris and a full bar. Though the shop is known for seafood, the meat is also top-knotch. Can’t decide? Go for the peacemaker po-boy: fried Louisiana shrimp, roast beef debris, and Swiss cheese. Seating is limited, but there are picnic tables outside for use on nice days."
Blue Oak BBQ (Where to Order Thanksgiving Turkey and Sides in New Orleans 2017),"900 N Carrollton Ave, New Orleans, LA 70119",29.9805088,-90.0936017,"Blue Oak BBQ will cater the entire Thanksgiving dinner for $425 (except for dessert), which comes with all the items on the holiday catering menu and gallon sizes of all the sides. This includes a whole pecan smoked turkey, barbecued brisket, roasted garlic mac and cheese, smoked oyster and artichoke dressing, cauliflower mashed potatoes, sweet potato casserole, cranberry sauce, and giblet gravy. All items also available a la carte. Order online to make it even easier. Pick up on November 22."
Bobby Hebert's Cajun Cannon (Where to Watch the 2018 Super Bowl in New Orleans),"4101 Veterans Blvd, Metairie, LA 70002",30.0054355,-90.177161,"This Metairie bar and grill, owned by former Saints quarterback Bobby Hebert, is a game day mecca. An extensive menu with loads of unhealthy food, a $50 giant burger challenge, ample booze, surround sound, and so many televisions there are even some in the bathroom. Should you choose to accept the burger challenge over the course of the Super Bowl, here’s the deal: Seven patties cooked medium-well and topped with cheddar cheese, tomatoes, onions, pickles, fried shrimp, and served with Cajun Hebert Fries. Complete the challenge and eat for free. No Sharing. "
Boucherie (New Orleans' Essential Lunch Spots),"8115 Jeannette St, New Orleans, LA 70118",29.9498218,-90.12783945,"Chef Nathaniel Zimet has a mini Cajun compound on the corner of N. Carrollton and Jeanette, where he specializes in bringing the concept of the boucherie (or, in this case, in-house butchering, curing and cooking) to the table, with a meaty menu where boudin balls and charcuterie shine, but creative dishes from smoked scallops to hamachi sashimi with kimchi should not be overlooked."
Bourbon House (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"144 Bourbon St, New Orleans, LA 70130",29.9545625,-90.0691287,"Seasonal favorite, the king cake bevvy cocktail, returns for its ninth year in a row for good reason. It’s a riff on Bourbon House’s beloved and much-lauded frozen bourbon milk punch -- and it’s probably enough to stop at that. For those who need more convincing, it’s Old New Orleans rum, orgeat, cinnamon syrup, Louisiana citrus, and housemade vanilla gelato topped off with purple, green, and gold sprinkles. It comes with its own king cake baby stir stick and tastes remarkably like its name-sake."
Breads On Oak (New Orleans’ Top Bakeries: Where To Eat Sweets and Buy Bread in the Crescent City),"8640 Oak St, New Orleans, LA 70118",29.9512759,-90.1348156,"Warm, woody, and welcoming with seating inside and out, this neighborhood bakery has become a popular weekend breakfast spot. Since opening in 2012, Breads on Oak has garnered a devoted following among Carrolltonians (as well as vegan and gluten-free folks), many of whom will tell you Breads on Oak boasts the best bread in town. Owner and head baker Sean O’Mahony studied baking and pastry-making in France; the influence of European technique and craft shows through his insistence on quality organic ingredients, fruit sweeteners, and plenty of gluten-free items. Aside from hearty artisanal loaves, Breads serves up decadent sweet rolls, brioches, quiches, sandwiches and arguably, the most authentically flaky croissants in town. Decent coffee to boot, plus the bakery. Open Wednesday through Sunday. Tip: Come Sunday mornings and be treated to samples of some half dozen different breads. "
Brennan's (The Best Private Dining Rooms in New Orleans),"417 Royal St, New Orleans, LA 70130",29.9561313,-90.0666413,"The Wine Room at Brennan’s lies beyond the courtyard, in a building that was once a stable at the big pink Brennan’s building that was built on 1795. It then became the restaurant’s wine cellar — dark, exclusive, and separate from the main building. Until Ralph Brennan Restaurant Group took over the restaurant and unleashed a massive renovation that put the iconic spot back on the map, diners never got near the cellar. Now it houses wines plus a private dining space for up to 16 people. In terms of decor, think leather chairs, brick walls, and a cypress table amidst bottles and bottles of wine."
Brigtsen's Restaurant (Where to Find the Best Réveillon Dinners in New Orleans 2017),"723 Dante St, New Orleans, LA 70118",29.945678,-90.134748,"This longtime Riverbend staple quietly continues its tradition of paying homage to Louisiana’s culinary traditions. The four-course, comfort food Réveillon menu offers plenty of choice and is a good bet for those looking to accommodate dining companions with varied tastes. Oysters or New Orleans style barbecued shrimp are available for the second course, Entree options include: duck a l’orange, seafood stuffed flounder, or a pork chop with apple cider gravy. $55 per person."
Brothers III Lounge (20 New Orleans Dive Bars to Avoid Valentine’s Day ),"4520 Magazine St, New Orleans, LA 70115",29.920547,-90.1033266,"Known for its low ceilings, friendly bartenders, and cheap drinks, Mr. Johnny’s Brothers III Lounge, with its bright yellow exterior, stands out some on trendy Magazine Street. Thank goodness, because when its time for shooting pool and listening to a juke box playing 45s, Brothers III beats swank every time. "
Broussard's Restaurant (Where to Find the Best Réveillon Dinners in New Orleans 2017),"819 Conti St, New Orleans, LA 70112",29.9566428,-90.0680567,"With a classic, understated elegance, this French Quarter staple offers a moderately priced four course menu with an eye towards deep, rich flavors, including crispy oysters Bienville, brandy duck liver mousse with apricot creole mustard glaze, and a butternut squash bisque with leeks and truffle cream. End with a choice between two naughty and nice Christmas desserts: peppermint panna cotta with dark chocolate ganache or praline bread pudding with eggnog custard and bourbon sauce. $48"
Bud's Broiler (Where To Eat New Orleans’ Best Hot Dogs),"500 City Park Ave, New Orleans, LA",29.9833752,-90.10595798,"The hot dog at Bud's Broiler definitely has a cult following— the dog is actually sliced down the center and served on a hamburger bun with toppings including chili, cheese, and/or hickory BBQ sauce. The City Park location is open 24 hours, which is of vital importance for weekend warriors."
Buddha Belly Bar-Grill (Six Spots That Combine Laundry and Drinking in New Orleans),"4437 Magazine St, New Orleans, LA 70115",29.9208451,-90.1025998,"This Magazine Street laundro-bar has super-friendly bartenders, burgers, occasional karaoke, and a stripper pole for getting frisky while you wait for clean clothes. It’s also a popular, come-as-you-are gathering spot for locals. Open daily from 11 a.m. to 3 a.m."
Buffa's (Where to Find the Best 24-Hour Eats in New Orleans),"1001 Esplanade Ave, New Orleans, LA 70116",29.9654796,-90.0625893,"This much loved local bar is a dive with a capital D, complete with a rib-sticking menu, live music in the back bar every night of the week, and a dog friendly scene up front. Fried green beans, red beans and rice, burgers, deli sandwiches, all just fine, although getting fancy with Alfredo might be over-reaching.  "
Bullet's Sports Bar (Where to Watch the 2018 Super Bowl in New Orleans),"2441 A P Tureaud Ave, New Orleans, LA 70119",29.9820819,-90.0671472,"This kitchen at this cool Treme spot churns out divine dishes like barbecued ribs, potato salad, mac and cheese, stuffed bell peppers, seafood stuffed potatoes, fried fish with potato salad, seafood pasta, jambalaya, smoked sausage, and chicken wings. For Super Bowl Sunday, expect the game on four big screens. As usual on Sundays, there will be free food (before the game) with things like barbecue and fried fish."
Bywater Bakery (New Orleans’ Top Bakeries: Where To Eat Sweets and Buy Bread in the Crescent City),"3624 Dauphine St, New Orleans, LA 70117",29.9629651,-90.0391811,"After years of overseeing the bakery departments of several dozen Rouse’s supermarkets, owner Chaya Conrad traded the corporate model for this one-of-a-kind, bright red corner spot in the funky Bywater. The $6 breakfast options include egg scrambles or “go cups” made from different classic combinations such as egg, bacon, grits, and cheese; shrimp and grits; tofu scramble; or hot sausage, biscuit and gravy. For lunch, build-your-own salad or hearty sandwich options on house-made bread satisfy. The lagniappe you want: $5 cake slices with about half a dozen options. Bonus: Live music 11 p.m. to 1 p.m. on Saturdays and Sundays. "
Bywater Bakery (Where to Eat the Best Yak-a-Mein in New Orleans),"3624 Dauphine St, New Orleans, LA 70117",29.9630835,-90.0391705,"Can’t make it to the Ogden? This spunky little neighborhood bakery in the Bywater dishes Miss Linda’s famous ya-ka-mein for lunch, a $6 bowl of goodness  served every day of the week. Save room for dessert here, the chocolate doberge by the slice is swoon-worthy. "
Cafe B (Ten Spots Where the Three-Martini Lunch is Alive and Well),"2700 Metairie Rd, Metairie, LA 70001",29.9793251,-90.1521202,"This clean-as-a-whistle, bright, and airy Metairie gem aims for efficiency with its 45-minute, two-course “quick lunch” for $19. Start with a salad or a soup and follow it up with Buffalo fried chicken salad, tuna Niçoise, or a turkey club. There’s a full a la carte menu for those with more time. Plus martinis are only $5 and made with Chopin vodka, so why not just make more time?"
Cafe Du Monde (Where to Find the Best 24-Hour Eats in New Orleans),"800 Decatur St, New Orleans, LA 70116",29.9574643,-90.0618811,"Why wait on those long daytime lines at Cafe du Monde when there are tables to spare at 3 a.m.? This iconic cafe is on everybody’s list for cafe au lait and fresh, fried, sugary beignets, three to an order. An all time favorite New Orleans experience is to order takeaway beignets from Cafe du Monde and commandeer a bench facing the Mississippi. Wander that way just about any time and find folks with the same idea, clouds of powdered sugar swirling in the air like gnats on an August eve. "
Cane & Table (The 12 Essential French Quarter Bars),"1113 Decatur St, New Orleans, LA",29.96017019,-90.05982685,"Cane & Table’s unassuming exterior makes it easy to miss; indeed when its doors are closed, it almost looks like the place has gone out of business. But step inside and you’ll be rewarded with a spare and airy interior that draws more from the Quarter’s Latin and Caribbean connections than its European ones. A subtle navigation theme can be found on Cane & Table’s highly original cocktail menu. Most drinks combine spirits and draw from such diverse spirits as amaro, negroni, mezcal, armagnac, and tequila; a selection of sherry and ciders is also available. Seating is varied with a wrap-around bar, tables, and back patio options, though come evening, tables may be full with diners. Upper shelf and from scratch ingredients means cocktail prices tend to run high at $10-15. For those on a budget, consider the weekday happy hour specials, including nibbles, from 3-6 p.m. Committed morning drinkers may want to explore the all you can drink weekend brunch special. "
Capt. Sal's Seafood & Chicken (Where to Eat the Best Yak-a-Mein in New Orleans),"3168 St Claude Ave, New Orleans, LA 70117",29.967048,-90.042701,"For a version of ya-ka-mein on the lighter side, head to this family-owned seafood shop on St. Claude in Bywater. Besides all manner of boiled seafood, order the beef or chicken for around $6, a portion floating with veggies like bok choy, carrots and bell pepper in the mix. "
Catahoula Hotel (The Hotel Bars to Visit Now (and Through the Holidays)),"914 Union St, New Orleans, LA 70112",29.951897,-90.0730787,"The pisco-focus of the bar shines in a cocktail menu that transports drinkers to the wilds of Peru. The decidedly updated feel of the architecture with its spare wooden bar and black and white floor tiles is balanced by a warm, welcoming staff deft at mixing cocktails by night, and by day keeping the surrounding business district’s coffee mugs filled with quality pours. The rooftop bar is also worth a visit when open, especially for indie movie nights paired with themed drinks."
Cavan (The Most Incredible King Cake-Inspired Dishes To Try Right Now),"3607 Magazine St, New Orleans, LA 70115",29.9222041,-90.0918989,"The smartest and very best savory king cake out there. Chef Nathan Richard makes the dough from white mountain roll and stuffs it with crawfish and goat cheese. A slightly sweet pepper jelly cream cheese plays the part of the icing, while chili flakes, dehydrated crab fat “sugar,” and green onions stand in for the tri-colored sugars. To make it truly fit for a king (or “make it a Rex”), ask for some Cajun Caviar on top. A small (without caviar) is only going to run you $16, with a $3 upcharge for caviar. Note: Orders must be placed 24 hours in advance."
Celebrate 100 Years at Arnaud's (Where to Eat and Drink on New Year’s Eve in New Orleans),"813 Bienville St, New Orleans, LA 70112",29.9557933,-90.0686926,"Arnaud’s, already an especially swanky sight to behold when it’s all decked out for the holidays, is making plans for a particularly special New Year’s Eve. The new year marks 100 years since the restaurant opened, as well as the tricentennial of New Orleans. Just before midnight, guests will receive accessories to celebrate the ringing in of the new year. Plus, its James Beard Award winning bar will be slinging holiday drinks like hot buttered rum, Tom and Jerry, and Chris Hannah’s Dickens’ Toddy."
Central City BBQ (Where to Order Thanksgiving Turkey and Sides in New Orleans 2017),"1201 S Rampart St, New Orleans, LA 70113",29.9439281,-90.0787347,"Central City BBQ has all the turkey needs covered with 12-14 pound, 10-hour smoked turkeys. Sides include green bean casserole, sweet corn spoon bread, sweet potato casserole, and barbecue jambalaya. The cut-off date for ordering is November 20. Pick up before 11 a.m. on Thanksgiving Day. View the full menu here. "
Central Grocery Co. (New Orleans' Essential Lunch Spots),"923 Decatur St, New Orleans, LA 70116",29.95875234,-90.06103086,"Line up at this French Quarter grocery dating back to 1906 for a taste of one of the city's signature sandwiches, the muffuletta, comprised of Italian meats, olive salad, provolone and oil on sesame bread. Take it to the river and enjoy."
"Chafunkta Brewery (Cyling, Eating, and Drinking Along the Northshore’s Tammany Trace)","21449 Marion Ln, Mandeville, LA 70471",30.4257317,-90.0443181,"Arguably some of the best local beer along St. Tammany Trace, it’s about five miles from both Old Rail Brewing and the Abita Brewery. The brewery is small and tours feel intimate. The owners, Josh and Jamie Erickson, keep the brewery open Thursday and Friday from 5 -- 9 pm, Saturday 11am - 9 pm, and Sunday 12 pm - 6 pm. It’s a great stop if you’re doing a cycling route along the St. Tammany Trace. Be sure to try the Old 504 vanilla and coffee-infused porter. Accessible from the Trace."
Chart Room (20 New Orleans Dive Bars to Avoid Valentine’s Day ),"300 Chartres St, New Orleans, LA 70130",29.9542724,-90.0664988,"This dingy spot on the corner of Chartres and Bienville has regulars that date back to the 70s,  the days when the French Quarter was a real neighborhood and residents were proud to be called Quarter rats. The drinks are cheap, the bar grungy, the crowd mostly talkative. An ideal place to find solace away from the masses. "
Checkpoint Charlie's (Six Spots That Combine Laundry and Drinking in New Orleans),"501 Esplanade Ave, New Orleans, LA 70116",29.9622543,-90.0579669,"This corner dive bar near Frenchman features a wide range of live music (from blues and rockabilly to metal) daily.  Plus, weirdos, laundry facilities, and drink specials make it a favorite among locals. Visit WWOZ for the full music line-up. Open 24 hours. "
Chef Linda the Yak-A-Mein Lady at Ogden After Hours (Where to Eat the Best Yak-a-Mein in New Orleans),"925 Camp St, New Orleans, LA 70130",29.9436584,-90.0713102,"New Orleans native and culinary icon Linda Green, aka Miss Linda the Ya-Ka-Mein Lady, creates her signature dish at festivals including Jazz Fest, Second Lines, and at the Ogden Museum of Southern Art’s After Hours program most Thursday nights 5:30-8 pm. Hers is the ya-ka-mein gold standard, so don’t miss it. "
Chez Champagne Gosset Dinner at Galatoire’s (Where to Eat and Drink on New Year’s Eve in New Orleans),"209 Bourbon St, New Orleans, LA 70130",29.9549362,-90.0690198,"Galatoire’s teams up with Chez Champagne Gosset for New Year’s Eve dinner. Founded in 1584, Gosset is the oldest wine house in Champagne.  The four-course dinner includes classics like poached sea scallops, filet mignon, and a gruyere and caramelized onion bread pudding with fondue. Open bar. Live entertainment by Anais St. John. Balcony access following dinner. 10 p.m. to 1 a.m.  Tickets are $225 per person,"
China Rose (Where To Satisfy a Chinese Food Craving in New Orleans),"3501 N Arnoult Rd, Metairie, LA 70002",30.0128598,-90.1601084,"Adventurous eaters love this Metairie hot spot for its exotic Chinese menu offerings. If bean curd skin, tripe with special sauce, and fried pork intestines aren’t your jam, crispy duck, orange beef and other traditional dishes more than suffice. Daily lunch specials are cheap and good. At $8.95 a person, the appetizer platter is a bargain, overflowing with egg rolls, wontons, fried shrimp, shrimp toast, crab ragoon, and barbecue ribs. Ask for the secret menu and get the soup dumplings."
Chuck's Sports Bar (20 New Orleans Dive Bars to Avoid Valentine’s Day ),"510 Gravier St, New Orleans, LA 70130",29.9506211,-90.0680308,"Nothing fancy going on here, just a hole-in-the-wall with rock bottom prices, generous pours, and a solid jukebox. Bartenders range from smiling to sullen, but nobody seems to mind. Chuck’s always draws a crowd on game days including peeps walking to and from the Dome. "
Clover Grill (Where to Find the Best 24-Hour Eats in New Orleans),"900 Bourbon St, New Orleans, LA 70116",29.9602874,-90.0640172,"So they make their burgers under a grease splattered hub cap and yes, they are good. The staff is a hoot, always talking some kind of smack, i.e. “We may not be pretty, but we think we are.” It doesn't get any more local than this. Great place for a snack after a night in the bars. Sit at the counter for best view of the shenanigans and order breakfast anytime at this old school divey diner. "
Cochon Butcher (New Orleans' Essential Lunch Spots),"930 Tchoupitoulas St, New Orleans, LA 70130",29.9421421,-90.06697395,"It's hard to go wrong at this Cochon annex, where Link Group shows off its incredible charcuterie skills and even more incredible sandwiches. The muffuletta is one of the best in town, but it's hard to go wrong with anything from a Cubano to a serving of boudin."
Cochon Butcher (Where To Eat New Orleans’ Best Hot Dogs),"930 Tchoupitoulas St, New Orleans, LA",29.94219171,-90.0671196,"Cochon Butcher’s Cajun pork hot dog is a beauty to behold, even if the bun can barely contain the meat. The frankfurters are made in house and don’t have a casing, so don’t expect the snap that’s so common when biting into a hot dog. The spot often has dogs on the “specials” menu with different toppings, so be sure to look for those. And, of course, there’s the rest of the glorious menu. "
